course name,course_credits,course_code,course_desc,lecture_topic,assessment_plan,level_of_course,mandatory_prereqs,department,mid_eval,end_eval,project_eval,quiz_eval,assignment_eval
,,,,,,,,,,,,,
Abstract Algebra I.xlsx,4,MTH 212,"Algebraic structures are of fundamental importance in mathematics and play an increasingly significant role in many application areas, including computer science and communication. This  course introduces the main algebraic structures: groups, rings and fields. Fundamental concepts and properties of these structures are studied, both in the abstract and in relation to concrete families of structures. Furthermore, algebra is an excellent vehicle for training students in mathematical rigour, proofs, and problem solving. ","['Equivalence relation and partition. Groups and subgroups, Cyclic groups, Abelian groups, Matrix groups, Quaternionic group.', ""Lagrange's theorem, normal subgroup, quotient groups, \nisomorphism theorems, Group actions."", ""Permutation groups, Simple groups,  Simplicity of the alternating group. Burnside's lemma and its applications."", 'Centralizers and Normalizers, the class equation and its applications. Dihedral Groups. ', ""Sylow's Theorems and their applications."", 'Direct product of groups, Fundamental Theorem of Finite Abelian groups', 'Rings and Fields, Matrix rings and Group rings, units and zero divisors, ideals, quotient rings, principal ideal, prime ideal, maximal ideal, nil and nilpotent ideals, integral domain.', 'Isomorphism of rings, Direct product of rings, Polynomial rings,  \nThe Chinese Remainder Theorem', 'Principal ideal domain, Euclidean domain, Unique factorization domain (basic algebraic properties only)']","{'Type of Evaluation': '% Contribution in Grade', 'Quizzes': 0.3, 'Minor ': 0.3, 'Major ': '40 % ', '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': '4. D. S. Dummit and  R. M. Foote, Abstract Algebra,  Wiley, 2003.', 'Reference book': '3. M  Artin, Algebra, Pearson, 2010.'}",2,,MTH,,,,30,
,,,,,,,,,,,,,
Abstract Algebra II-2.xlsx,4,MTH513," This course discusses factorization theory in integral domains, and basic properties of solvable groups, nilpotent groups and rings with chain conditions. This course also introduces Galois Theory, which was initiated by Galois in the 19th century. As applications of Galois Theory, solvability of polynomials by radicals, and classical straightedge (ruler)  and compass constructions will be discussed.","['Solvable groups, Nilpotent groups, Jordan-Holder Theorem', ""Factorization Theory in Integral domains: Prime and irreducible elements, Principal ideal domains, Euclidean domains, Unique factorization domains, Eisenstein's Irreducibility Criterion."", 'Rings with Chain conditions: Noetherian rings, Artinian rings', 'Fields: Prime fields, Extension of fields, Algebraic extensions,  Separable and Inseparable extensions, Cyclotomic polynomials and extensions.', 'Galois Theory: Galois fields and their structure, The Galois group of a polynomial, Normal extensions and Fundamental Theorem of Galois Theory', ' Radical extensions and solvability of polynomials by radicals, applications to the classical straightedge and compass constructions. ']","{'Type of Evaluation': '% Contribution in Grade', 'Quiz': 20, 'Mid-sem': 30, 'End-sem': 50, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': '1.  P. J. McCarthy, Algebraic extensions of Fields, Dover publications.'}",5,"Math I (MTH100), Abstract Algebra I (MTH212) ",MTH,30,50,,20,
,,,,,,,,,,,,,
Advacned Embedded Logic Design.xlsx,4,ECE 573,"Embedded systems consisting of multi-core processors with co-processors as well as accelerators such as GPU and FPGA are widely being used in various wireless, multimedia, data centers, video processing and computer vision applications. The main focus of this course is to introduce various embedded system concepts via theory and lab sessions followed by building real-world embedded systems. In this course, students will learn hardware software co-design approach to learn how to implement the embedded systems on heterogenos SoC and optimize their area and power performance. In the theory part of the course, various concepts such as  processor architecture, interrupts, cache system, direct memory access (DMA), co-processors, hardware-software co-design along with AXI protocol will be discussed in detail. Labs and assignments will focus on developing working programs that use various features and ports of SoC (Zybo, Zedboard and ZC706 platform) including GPIO, UART, ethernet, floating point unit (FPU), SIMD co-processor, interrupts, timers, DMA, DDR memory etc. Few weeks will be dedicated to implementation of machine learning algorithms on SoC via hardware-software co-design approach followed by projects exploring dynamic partial reconfigurations enabling real-time switch between the various ML algorithms. ","['Embedded systems basics, AXI protocol', 'FPGA refesher, IP design and SoC design flow', 'Zynq SoC Architecture Introduction, hardware software co-design approach, boot and configuarion process', 'Interrupts, Timers, Cache system, DMA, SoC ports (SPI, I2C, UART, USB)', 'Co-processors, Floating point unit (FPU), clock and reset systems', 'Accelerator design and analysis: FFT, Matrix multiplication, matrix inversion, ML algorithms', 'Accelerator design and analysis: FFT, Matrix multiplication, matrix inversion, ML algorithms', 'Detailed co-processor (NEON, FPU) architecture', 'Accelerator for GNU Radio for wireless prototyping', 'Hardware software co-design for wireless PHY']","{'Type of Evaluation': '% Contribution in Grade', 'Quiz': 20, 'Mid-sem': 30, 'End-sem': 50, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': '1.  P. J. McCarthy, Algebraic extensions of Fields, Dover publications.'}",5,"C/C++ programming concepts, Digital Circuits, Microcontrollers/Microprocessors (UG level)",ECE,30,50,,20,
,,,,,,,,,,,,,
Advance Ethnographic Research Methods.xlsx,4,SOC311/SOC501,"This course introduces diverse ethnographic methods  and epistemologies in anthropology: participant observation, visual sources, archival documents, oral narratives, visual as well as digital resources. It exposes students to data gathering techniques, designing a research proposal, conducting structured and unstructured interviews, while at the same time introducing key debates on the conditions of producing knowledge. The course will encourage students to think reflexively while designing their research proposals, by asking ways social position of the researcher is connected to data production. Through this, questions of objectivity, interpretation, social construction in the production of ethnographic knowledge will be explored, by bringing questions of power and the politics of representation in the production of social ‘facts’.  At the end of the course, students will be able to be able to design research projects and write grant applications, while being reflexive of the location through which research is produced. ","['Course overview: the production of anthropological knowledge', 'Fieldwork, participant observation and ethnography', 'Interviewing and semi-structured interviews', 'Sampling Design, Survey methods and questionnaire', 'Historical sources: documentary and Oral Narratives', 'Visual Methods: Photography and Films in the production of anthropological knowledge', 'Ethnography of virtual communities', 'Netography: Doing Ethnographic Research Online', 'Ethnography of Entanglements:  Studying relations between people, environments, artefacts and algorithms ', 'Ethics in qualitative research and ethnographic representation', 'Ethnography as writing: fieldnotes and writing up', 'Reading Ethnographies ', 'Writing Grant/Research Proposal ']","{'Type of Evaluation': '% Contribution in Grade', 'Weekly Response Paper': '                                           40 (5 marks x 8 weeks)', 'Practicing Research Methods': '               10 (5 + 5)', 'Book Review': 20, 'Research Proposal': 30}",5,B.Tech-SSH201 Social Science Research Methods/Research Methods Course of HCD/Any other Research Methods Course,SOC,,,,,
,,,,,,,,,,,,,
Advanced Computer Vision.xlsx,4,CSE562,"This course will cover advanced topic in computer vision. We will examine data sources, features, and learning algorithms useful for understanding and manipulating visual data. The emphasis will be on scalability issues as well as acquiring the knowhow to work on interdisciplinary problems. The goal of this course is to give students the background and skills necessary to perform research in computer vision and its application domains such as robotics, healthcare, and forensics. Students should understand the strengths and weaknesses of current approaches to research problems and identify interesting open questions and future research directions.",['SFM/SLAM\nSFM/SLAM\nStructured Prediction Generative Models Pose Estimation Action Recognition Learning from Videos Visual Data Mining\nFine Grained Classification Image Forensics\nVision and Language Vision and Speech Vision and Robotics'],"{'Type of Evaluation': '% Contribution in Grade', 'Assignment': 40, 'Paper presentation': 10, 'Project': 30, 'Mid-sem': 10, 'End-sem': 10, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': 'Material will be mostly taken from the internet'}",5,Computer Vision,CSE,10,10,30,,40
,,,,,,,,,,,,,
Advanced Linear Algebra.xlsx,4,MTH510,"This course is designed to enhance the understanding of the principles underlying the subject  and to prepare students to take more advanced courses in Mathematics and engineering (e.g. Machine learning, Advanced Matrix Theory, Algebraic Coding Theory).","['Review of Fields, Finite Fields, vector spaces, Direct sum of subspaces, linear transformations (vector space homomorphisms), Definition of linear algebra, Matrix of a linear transformation and change of basis. Isomorphisms, Quotient spaces, Fundamental theorem of vector space homomorphism.', 'Linear functionals, Dual space, double dual, transpose of a linear transformation. ', 'Eigenvalues and eigenvectors, Diagonalization, Simultaneous triangulation and simultaneous diagonalization.', 'The primary decomposition theorem, Generalized Cayley-Hamilton Theorem, Cyclic decomposition and the rational and Jordan canonical forms. Computation of invariant factors.', 'Inner product spaces, unitary operators, spectral theorem for normal operators, polar decomposition.', 'Bilinear and quadratic forms, Symmetric and skew-symmetric bilinear forms.', 'Generalized inverse of a matrix and its applications.']","{'Type of Evaluation': '% Contribution in Grade', 'Quizzes': 0.2, 'Minor Test ': 0.3, 'Major Test': 0.5, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': 'Hoffman and Kunze, Linear Algebra, Pearson.', 'Other suggested readings:': None}",5,MTH 100 (for UG),MTH,,,,20,
,,,,,,,,,,,,,
Advanced Machine Learning.xlsx,4,CSE642,This is an advanced course on Pattern Recognition and Machine Learning. It is intended for senior undergraduate and graduate students who already have background in PR or ML. The course is designed as a set of special topics that will be covered through research papers and books. The course will focus on algorithms and models along with providing a good perspective of different real world applications.,"['Introduction to Machine Learning and Pattern Classification', 'Learning Data Representations: Deep Learning', 'Learning Data Representations: Dictionary learning', 'Distance Metric Learning', 'Domain Adaptation']","{'Type of Evaluation': '% Contribution in Grade', 'Quiz': 10, 'Assignment': 25, 'Mid-sem': 15, 'Project': 30, 'End-sem': 20, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Reference': 'Deep Learning by Ian Goodfellow, Yoshua Bengio, Aaron Courville', 'Internet Resource': 'Will be provided in class'}",6,MTH201 Probability & Statistics,CSE,15,20,30,10,25
,,,,,,,,,,,,,
Advanced Operating Systems.xlsx,4,CSE631,"The objective of this course is to study existing approaches for building an OS kernel. We aim to discuss monolithic kernels, lightweight kernels, embedded OS, distributed OS, etc. We will discuss the pros and cons of each of these design decisions. We will see how modern languages play a crucial role in designing the end to end software stack. Students are expected to read research papers before the class discussions.","['Intorduction to Unix systems', 'Introduction to X86 assembly', 'Exokernel ', 'Microkernel', 'Security in computer systems', 'Information flow control', 'HiStar OS', 'Managed Languages', 'Singularity OS', 'Introduction to Rust', 'Embedded OS', 'Distributed systems', 'Barrelfish OS']","{'Type of Evaluation': '% Contribution in Grade', 'End-sem': 40, 'Mid-sem': 30, 'Assignment': 20, 'Quiz': 10, 'Resource Material': None, 'Type': 'Title', 'Textbook': 'There is no textbook for the course.', 'Reading Materials': 'Link to the research papers will be provided.'}",6,CSE231 Operating Systems,CSE,30,40,,10,20
,,,,,,,,,,,,,
